Domain, Image, Entropy
1, 0, 1.1214743852615356
1, 1, 1.130159854888916
1, 2, 3.1980865001678467
1, 3, 1.6814935207366943
1, 4, 2.4745774269104004
1, 5, 2.6001248359680176
1, 6, 1.0281826257705688
1, 7, 0.9003868699073792
1, 8, 2.0314645767211914
1, 9, 1.5960595607757568
1, 10, 1.0599490404129028
1, 11, 1.1287723779678345
1, 12, 2.9865665435791016
1, 13, 1.5232547521591187
1, 14, 0.955406904220581
1, 15, 2.6607728004455566
1, 16, 2.9349424839019775
1, 17, 1.9978141784667969
1, 18, 2.6577067375183105
1, 19, 2.422403335571289
1, 20, 0.8249632120132446
1, 21, 1.1627562046051025
1, 22, 3.019178628921509
1, 23, 3.1752419471740723
1, 24, 2.9403791427612305
1, 25, 3.1752419471740723
1, 26, 1.215562105178833
1, 27, 2.600734233856201
1, 28, 2.5598220825195312
1, 29, 3.0558996200561523
1, 30, 3.0443382263183594
1, 31, 3.176886558532715
1, 32, 1.1062370538711548
1, 33, 2.398911952972412
1, 34, 1.3669583797454834
1, 35, 1.685652256011963
1, 36, 1.58579421043396
1, 37, 2.600734233856201
1, 38, 0.6941201686859131
1, 39, 2.657564640045166
1, 40, 1.5552613735198975
1, 41, 1.4142767190933228
1, 42, 2.4076905250549316
1, 43, 0.9877874255180359
1, 44, 3.3341495990753174
1, 45, 1.7200771570205688
1, 46, 2.9164083003997803
1, 47, 2.7725882530212402
1, 48, 0.648506760597229
1, 49, 1.194197177886963
1, 50, 1.0462236404418945
1, 51, 1.6967227458953857
1, 52, 0.2757973372936249
1, 53, 1.1779162883758545
1, 54, 1.1211247444152832
1, 55, 0.46108123660087585
1, 56, 1.0020267963409424
1, 57, 3.0387229919433594
1, 58, 1.303336262702942
1, 59, 0.5898090600967407
1, 60, 0.5353747010231018
1, 61, 1.920563817024231
1, 62, 0.8965952396392822
1, 63, 0.5862491130828857
1, 64, 1.1630607843399048
1, 65, 1.7681140899658203
1, 66, 0.9201899766921997
1, 67, 0.8542470335960388
1, 68, 2.8795766830444336
1, 69, 1.57413911819458
1, 70, 1.0018545389175415
1, 71, 0.8541227579116821
1, 72, 0.3845391869544983
1, 73, 0.6178271770477295
1, 74, 0.8905419111251831
1, 75, 1.5173842906951904
1, 76, 1.2867140769958496
1, 77, 1.0067245960235596
1, 78, 1.1702759265899658
1, 79, 0.47316643595695496
1, 80, 1.3614312410354614
1, 81, 0.5714095830917358
1, 82, 1.1766810417175293
1, 83, 3.209996461868286
1, 84, 0.4329093098640442
1, 85, 1.8947004079818726
1, 86, 1.0313091278076172
1, 87, 1.0325782299041748
1, 88, 1.4420890808105469
1, 89, 3.6496481895446777
1, 90, 3.398905038833618
1, 91, 1.886582612991333
1, 92, 3.4203782081604004
1, 93, 3.4156150817871094
1, 94, 3.306370258331299
1, 95, 3.604243755340576
1, 96, 3.2034547328948975
1, 97, 2.0089809894561768
1, 98, 2.7842562198638916
1, 99, 3.3868231773376465
1, 100, 3.05674409866333
1, 101, 2.580667734146118
1, 102, 2.5424933433532715
1, 103, 3.46134090423584
1, 104, 3.5154435634613037
1, 105, 2.659189224243164
1, 106, 2.768146514892578
1, 107, 2.3206183910369873
1, 108, 3.473179340362549
1, 109, 0.8033237457275391
1, 110, 1.605851411819458
1, 111, 3.1325595378875732
1, 112, 1.3182051181793213
1, 113, 1.444777250289917
1, 114, 2.729543924331665
1, 115, 3.332871913909912
1, 116, 0.7694046497344971
1, 117, 1.466594934463501
1, 118, 2.707103967666626
1, 119, 3.441443920135498
1, 120, 2.5995311737060547
1, 121, 3.333937883377075
1, 122, 2.407270908355713
1, 123, 3.1852798461914062
1, 124, 1.6803827285766602
1, 125, 2.1081018447875977
1, 126, 2.3711109161376953
1, 127, 1.4976707696914673
1, 128, 1.782286524772644
1, 129, 1.3689067363739014
1, 130, 2.8310751914978027
1, 131, 2.355821371078491
1, 132, 2.1689181327819824
1, 133, 2.5545907020568848
1, 134, 2.9936275482177734
1, 135, 1.4452238082885742
1, 136, 2.8265862464904785
1, 137, 3.052199363708496
1, 138, 0.6631813049316406
1, 139, 3.1728901863098145
1, 140, 2.3304481506347656
1, 141, 2.719294786453247
1, 142, 0.6638457179069519
1, 143, 3.190889835357666
1, 144, 1.8385210037231445
1, 145, 3.377908229827881
1, 146, 3.5412397384643555
1, 147, 2.9707741737365723
1, 148, 3.6161041259765625
1, 149, 1.7833595275878906
1, 150, 2.7901339530944824
1, 151, 3.0983757972717285
1, 152, 2.172157049179077
1, 153, 2.118396282196045
1, 154, 2.1341443061828613
1, 155, 3.3814945220947266
1, 156, 3.1536498069763184
1, 157, 1.0069681406021118
1, 158, 1.9204624891281128
1, 159, 2.8995654582977295
1, 160, 2.5707080364227295
1, 161, 3.569908618927002
1, 162, 2.4556264877319336
1, 163, 2.878384590148926
1, 164, 3.6049346923828125
1, 165, 0.9830315709114075
1, 166, 2.861402750015259
1, 167, 2.2875308990478516
1, 168, 1.574124813079834
1, 169, 2.7096328735351562
1, 170, 2.5556514263153076
1, 171, 3.32147216796875
1, 172, 2.273265838623047
1, 173, 3.3417952060699463
1, 174, 3.3387486934661865
1, 175, 3.3428430557250977
1, 176, 2.0472335815429688
1, 177, 1.682568073272705
1, 178, 2.841845989227295
1, 179, 3.2440149784088135
1, 180, 1.9647296667099
1, 181, 1.4530843496322632
1, 182, 2.0220608711242676
1, 183, 2.8232643604278564
1, 184, 0.9122970700263977
1, 185, 2.4910194873809814
1, 186, 2.3040924072265625
1, 187, 2.9811806678771973
1, 188, 0.47999274730682373
1, 189, 0.775388777256012
1, 190, 0.49656248092651367
1, 191, 0.8889897465705872
1, 192, 2.803351879119873
1, 193, 2.5528576374053955
1, 194, 1.585740566253662
1, 195, 1.6320223808288574
1, 196, 2.2683634757995605
1, 197, 0.3837015628814697
1, 198, 0.6049730777740479
1, 199, 0.6780896186828613
1, 200, 1.034308910369873
1, 201, 2.9845852851867676
1, 202, 1.6720587015151978
1, 203, 2.865891933441162
1, 204, 0.9666948318481445
1, 205, 0.9502884149551392
1, 206, 1.2755517959594727
1, 207, 0.9885967969894409
1, 208, 1.107452630996704
1, 209, 3.756129264831543
1, 210, 0.7968317270278931
1, 211, 0.6656128168106079
1, 212, 1.3543510437011719
1, 213, 3.2640275955200195
1, 214, 1.0228350162506104
1, 215, 2.7870874404907227
1, 216, 1.4785823822021484
1, 217, 0.42735034227371216
1, 218, 1.0791655778884888
1, 219, 0.6014692783355713
1, 220, 2.393564462661743
1, 221, 0.59215247631073
1, 222, 0.8357366919517517
1, 223, 0.4394637942314148
1, 224, 0.3721206486225128
1, 225, 2.926922559738159
1, 226, 0.5147256851196289
1, 227, 0.31401142477989197
1, 228, 1.045135736465454
1, 229, 1.1716554164886475
1, 230, 1.36387038230896
1, 231, 3.5106844902038574
1, 232, 0.3869956135749817
1, 233, 2.104863166809082
1, 234, 1.1971193552017212
1, 235, 1.911257028579712
1, 236, 2.9965600967407227
1, 237, 0.701932430267334
1, 238, 0.32044461369514465
1, 239, 0.4566640257835388
1, 240, 1.8255237340927124
1, 241, 1.3161702156066895
1, 242, 2.748419761657715
1, 243, 1.0553934574127197
1, 244, 2.6673150062561035
1, 245, 2.348588228225708
1, 246, 3.433729648590088
1, 247, 2.1320838928222656
1, 248, 2.0006203651428223
1, 249, 2.8496978282928467
1, 250, 1.351680874824524
1, 251, 1.7417051792144775
1, 252, 1.3274705410003662
1, 253, 2.0184929370880127
1, 254, 1.6458470821380615
1, 255, 1.5644292831420898
1, 256, 0.734764039516449
1, 257, 0.7477829456329346
1, 258, 1.2587645053863525
1, 259, 3.2800965309143066
1, 260, 1.2693277597427368
1, 261, 1.2609447240829468
1, 262, 2.2666616439819336
1, 263, 2.9971745014190674
1, 264, 1.2203962802886963
1, 265, 1.487419605255127
1, 266, 1.5319255590438843
1, 267, 2.263915777206421
1, 268, 2.7811286449432373
1, 269, 1.359978199005127
1, 270, 0.7439154982566833
1, 271, 2.601377010345459
1, 272, 1.5591602325439453
1, 273, 3.0935044288635254
1, 274, 1.6600580215454102
1, 275, 1.984487533569336
1, 276, 1.2827256917953491
1, 277, 1.2858154773712158
1, 278, 0.7792789340019226
1, 279, 0.5445227026939392
1, 280, 1.2811808586120605
1, 281, 2.242891788482666
1, 282, 2.546523332595825
1, 283, 0.9883317351341248
1, 284, 1.809706449508667
1, 285, 1.7979341745376587
1, 286, 3.1502177715301514
1, 287, 1.2332048416137695
1, 288, 1.0879979133605957
1, 289, 1.2635655403137207
1, 290, 1.5896804332733154
1, 291, 2.6687304973602295
1, 292, 0.8171659708023071
1, 293, 2.965330123901367
1, 294, 1.968113899230957
1, 295, 2.5930047035217285
1, 296, 0.5043996572494507
1, 297, 2.602509021759033
1, 298, 2.1881918907165527
1, 299, 1.3011927604675293
1, 300, 1.3818087577819824
1, 301, 3.1543259620666504
1, 302, 0.9592697024345398
1, 303, 2.5547637939453125
1, 304, 2.743302583694458
1, 305, 1.1925386190414429
1, 306, 1.1645292043685913
1, 307, 1.232553482055664
1, 308, 2.139390707015991
1, 309, 1.9496335983276367
1, 310, 2.5858747959136963
1, 311, 2.0388925075531006
1, 312, 2.317875385284424
1, 313, 2.6309008598327637
1, 314, 0.7597367167472839
1, 315, 1.496396541595459
1, 316, 3.091689348220825
1, 317, 0.9475212693214417
1, 318, 1.7381091117858887
1, 319, 2.617096424102783
1, 320, 1.1088019609451294
1, 321, 3.3335838317871094
1, 322, 1.8240324258804321
1, 323, 1.4366307258605957
1, 324, 0.5048609375953674
1, 325, 2.137558937072754
1, 326, 2.29636812210083
1, 327, 0.5548878312110901
1, 328, 1.4287058115005493
1, 329, 2.949049949645996
1, 330, 3.3282289505004883
1, 331, 1.4544193744659424
1, 332, 1.8555196523666382
1, 333, 1.7984583377838135
1, 334, 2.336947441101074
1, 335, 2.682830333709717
1, 336, 2.3161041736602783
1, 337, 1.9361481666564941
1, 338, 1.012688398361206
1, 339, 1.1785697937011719
1, 340, 0.7863917350769043
1, 341, 2.7677536010742188
1, 342, 0.45794379711151123
1, 343, 2.8525760173797607
1, 344, 0.7864237427711487
1, 345, 0.521743893623352
1, 346, 2.1500113010406494
1, 347, 0.6927180290222168
1, 348, 0.6647143959999084
1, 349, 0.6647143959999084
1, 350, 1.204345464706421
1, 351, 2.2123305797576904
1, 352, 0.9132601022720337
1, 353, 2.9944825172424316
1, 354, 0.5373761057853699
1, 355, 0.475441038608551
1, 356, 1.6544064283370972
1, 357, 0.40971291065216064
1, 358, 0.6621500849723816
1, 359, 1.754103183746338
1, 360, 1.0303467512130737
1, 361, 0.6210439205169678
1, 362, 0.45876187086105347
1, 363, 0.4370756149291992
1, 364, 0.6595418453216553
1, 365, 0.626139760017395
1, 366, 1.5099818706512451
1, 367, 1.1533801555633545
1, 368, 2.5922303199768066
1, 369, 0.6967248916625977
1, 370, 0.5529364347457886
1, 371, 1.126068115234375
1, 372, 0.46994224190711975
1, 373, 3.0010814666748047
1, 374, 1.9136624336242676
1, 375, 2.407592535018921
1, 376, 0.6752957701683044
1, 377, 0.5845177173614502
1, 378, 3.0227174758911133
1, 379, 2.0519559383392334
1, 380, 2.428893566131592
1, 381, 2.0240721702575684
1, 382, 1.2878336906433105
1, 383, 1.4990651607513428
1, 384, 2.252838134765625
1, 385, 3.0136990547180176
1, 386, 1.647294521331787
1, 387, 1.7709367275238037
1, 388, 2.1080479621887207
1, 389, 1.7642021179199219
1, 390, 1.4248043298721313
1, 391, 2.4551548957824707
1, 392, 2.4152450561523438
1, 393, 1.8428454399108887
1, 394, 1.9616464376449585
1, 395, 3.1688249111175537
1, 396, 2.83709454536438
1, 397, 1.0574889183044434
1, 398, 2.6889286041259766
1, 399, 2.2062020301818848
1, 400, 3.857933521270752
1, 401, 2.354525566101074
1, 402, 2.583683729171753
1, 403, 2.45487642288208
1, 404, 0.4734589755535126
1, 405, 1.973083734512329
1, 406, 3.195380210876465
1, 407, 2.1978487968444824
1, 408, 1.9821076393127441
1, 409, 1.6983932256698608
1, 410, 2.897190570831299
1, 411, 2.9364941120147705
1, 412, 2.3524250984191895
1, 413, 2.106938362121582
1, 414, 1.9489967823028564
1, 415, 0.5286054015159607
1, 416, 0.2717277407646179
1, 417, 2.232964515686035
1, 418, 1.9102188348770142
1, 419, 1.451749563217163
1, 420, 1.745455265045166
1, 421, 1.3441466093063354
1, 422, 3.2334847450256348
1, 423, 3.4345297813415527
1, 424, 3.031747341156006
1, 425, 3.1413564682006836
1, 426, 3.3241004943847656
1, 427, 2.7934622764587402
1, 428, 2.71004056930542
1, 429, 2.789736270904541
1, 430, 2.616800546646118
1, 431, 2.783592700958252
1, 432, 2.944972515106201
1, 433, 3.350109338760376
1, 434, 2.7330338954925537
1, 435, 3.2315382957458496
1, 436, 1.5590684413909912
1, 437, 3.3940606117248535
1, 438, 3.3010592460632324
1, 439, 3.036097526550293
1, 440, 2.547318935394287
1, 441, 3.240947961807251
1, 442, 3.414689540863037
1, 443, 3.708789825439453
1, 444, 3.3038229942321777
1, 445, 1.8529579639434814
1, 446, 3.222878932952881
1, 447, 3.171170711517334
1, 448, 3.3024442195892334
1, 449, 3.6359057426452637
1, 450, 0.7297002077102661
1, 451, 3.6903910636901855
1, 452, 3.1054723262786865
1, 453, 3.2300400733947754
1, 454, 3.384326219558716
1, 455, 3.6542201042175293
1, 456, 3.1888928413391113
1, 457, 2.3439459800720215
1, 458, 3.7462120056152344
1, 459, 2.7767093181610107
1, 460, 3.2206244468688965
1, 461, 3.1914544105529785
1, 462, 2.951897144317627
1, 463, 3.1560158729553223
1, 464, 2.7828540802001953
1, 465, 3.387617349624634
1, 466, 2.2806355953216553
1, 467, 2.267228841781616
1, 468, 3.323742389678955
1, 469, 3.8232574462890625
1, 470, 3.320101737976074
1, 471, 3.6177797317504883
1, 472, 2.7109463214874268
1, 473, 3.326395273208618
1, 474, 3.351612091064453
1, 475, 3.5862250328063965
1, 476, 3.5536389350891113
1, 477, 3.4791226387023926
1, 478, 3.285358190536499
1, 479, 3.6652352809906006
1, 480, 1.2164275646209717
1, 481, 2.4114017486572266
1, 482, 2.6570723056793213
1, 483, 3.2495100498199463
1, 484, 2.7794995307922363
1, 485, 3.3399081230163574
1, 486, 2.8317718505859375
1, 487, 1.819998860359192
1, 488, 2.772641897201538
1, 489, 2.735801935195923
1, 490, 2.7794995307922363
1, 491, 1.8083655834197998
1, 492, 3.6283841133117676
1, 493, 1.7410967350006104
1, 494, 2.736943244934082
1, 495, 3.4044322967529297
1, 496, 3.475444793701172
1, 497, 1.842668056488037
1, 498, 2.609151840209961
1, 499, 3.1669814586639404
1, 500, 1.8585357666015625
1, 501, 3.5504584312438965
1, 502, 2.7829837799072266
1, 503, 3.3338212966918945
1, 504, 3.756956100463867
1, 505, 3.4194891452789307
1, 506, 3.0172691345214844
1, 507, 3.5466151237487793
1, 508, 3.4193153381347656
1, 509, 2.89595365524292
1, 510, 4.0115966796875
1, 511, 3.997757911682129
1, 512, 3.525895595550537
