,Actual Label,Prev Pseudo Label,Curr Pseudo Labels,Refined Pseudo Labels
0,0.0,0,0,0
1,0.0,0,0,0
2,0.0,0,0,0
3,0.0,0,0,0
4,0.0,0,0,0
5,0.0,0,0,0
6,0.0,0,0,0
7,0.0,0,0,0
8,0.0,16,16,16
9,0.0,61,61,61
10,0.0,3,3,3
11,0.0,0,0,0
12,0.0,0,0,0
13,0.0,0,0,0
14,0.0,3,3,3
15,0.0,0,0,41
16,0.0,0,0,0
17,0.0,0,0,0
18,0.0,0,0,0
19,0.0,3,3,3
20,0.0,0,0,0
21,0.0,0,0,0
22,0.0,17,29,17
23,0.0,0,0,0
24,0.0,16,16,16
25,0.0,0,0,0
26,0.0,0,0,0
27,0.0,0,0,0
28,0.0,58,58,58
29,0.0,1,1,1
30,0.0,0,0,0
31,0.0,1,1,1
32,0.0,0,0,0
33,0.0,0,0,0
34,0.0,0,0,0
35,0.0,0,0,0
36,0.0,0,0,0
37,0.0,0,0,0
38,0.0,0,0,0
39,0.0,0,0,0
40,0.0,0,0,0
41,0.0,0,0,0
42,0.0,0,0,0
43,0.0,0,0,0
44,0.0,46,46,46
45,0.0,0,0,0
46,0.0,32,32,32
47,0.0,0,0,0
48,1.0,1,1,1
49,1.0,1,1,1
50,1.0,1,1,1
51,1.0,1,1,1
52,1.0,1,1,1
53,1.0,1,1,1
54,1.0,1,1,1
55,1.0,1,1,1
56,1.0,1,1,1
57,1.0,1,1,1
58,1.0,1,1,1
59,1.0,1,1,1
60,1.0,1,1,1
61,1.0,1,1,1
62,1.0,1,1,1
63,1.0,1,1,1
64,1.0,1,1,1
65,1.0,1,1,1
66,1.0,1,1,1
67,1.0,1,1,1
68,1.0,1,1,1
69,1.0,1,1,1
70,1.0,1,1,1
71,1.0,1,1,1
72,1.0,1,1,1
73,1.0,1,1,1
74,1.0,1,1,1
75,1.0,1,1,1
76,1.0,1,1,1
77,1.0,1,1,1
78,1.0,1,1,1
79,1.0,1,1,1
80,1.0,1,1,1
81,1.0,1,1,1
82,1.0,1,1,1
83,1.0,1,1,1
84,1.0,1,1,1
85,1.0,1,1,1
86,1.0,1,1,1
87,1.0,1,1,1
88,1.0,1,1,1
89,2.0,11,11,11
90,2.0,8,8,8
91,2.0,2,2,2
92,2.0,1,1,1
93,2.0,15,15,15
94,2.0,54,51,54
95,2.0,2,2,2
96,2.0,2,2,2
97,2.0,2,2,2
98,2.0,58,43,58
99,2.0,5,5,5
100,2.0,46,46,46
101,2.0,2,2,2
102,2.0,46,46,46
103,2.0,2,2,2
104,2.0,39,39,39
105,2.0,39,39,39
106,2.0,2,2,2
107,2.0,2,2,29
108,2.0,10,10,10
109,2.0,2,2,2
110,2.0,46,46,46
111,2.0,2,2,2
112,2.0,2,2,2
113,2.0,2,2,2
114,2.0,2,2,2
115,2.0,2,2,2
116,2.0,42,42,42
117,2.0,2,2,2
118,2.0,42,64,42
119,2.0,2,2,2
120,2.0,2,2,2
121,2.0,2,2,2
122,2.0,2,2,2
123,2.0,2,2,2
124,2.0,8,46,46
125,2.0,2,2,2
126,2.0,2,2,2
127,2.0,2,2,2
128,2.0,54,54,54
129,2.0,2,2,2
130,2.0,2,2,2
131,2.0,10,10,10
132,2.0,58,58,58
133,2.0,34,34,34
134,2.0,2,2,2
135,2.0,2,2,2
136,2.0,2,2,2
137,2.0,2,2,2
138,2.0,2,2,2
139,2.0,2,2,2
140,2.0,2,2,2
141,2.0,10,10,10
142,2.0,2,2,2
143,2.0,15,15,15
144,2.0,2,2,2
145,2.0,10,10,10
146,2.0,2,2,2
147,2.0,60,60,58
148,2.0,59,59,59
149,2.0,2,2,2
150,2.0,39,39,39
151,2.0,2,2,2
152,2.0,2,2,2
153,2.0,2,2,2
154,2.0,2,2,2
155,2.0,59,42,59
156,2.0,2,2,2
157,2.0,2,2,2
158,2.0,2,2,2
159,2.0,2,2,2
160,2.0,2,2,2
161,2.0,2,2,2
162,2.0,32,32,32
163,2.0,8,8,8
164,2.0,60,60,60
165,2.0,42,42,42
166,2.0,52,52,52
167,2.0,42,42,42
168,2.0,46,46,46
169,2.0,2,2,2
170,2.0,52,52,52
171,2.0,2,2,2
172,2.0,2,2,2
173,2.0,2,2,2
174,2.0,58,5,5
175,2.0,2,2,2
176,2.0,2,2,2
177,2.0,2,2,2
178,2.0,2,2,2
179,2.0,2,2,2
180,2.0,2,2,2
181,2.0,2,2,2
182,2.0,2,2,2
183,2.0,2,2,2
184,2.0,2,2,2
185,2.0,59,59,59
186,2.0,52,52,52
187,2.0,13,13,13
188,3.0,3,3,3
189,3.0,3,3,3
190,3.0,3,3,3
191,3.0,3,3,3
192,3.0,40,40,40
193,3.0,3,3,3
194,3.0,3,3,3
195,3.0,3,3,3
196,3.0,40,40,40
197,3.0,3,3,3
198,3.0,3,3,3
199,3.0,3,3,3
200,3.0,3,3,3
201,3.0,33,33,33
202,3.0,3,3,3
203,3.0,36,36,36
204,3.0,3,3,3
205,3.0,3,3,3
206,3.0,3,3,3
207,3.0,3,3,3
208,3.0,3,3,3
209,3.0,25,25,25
210,3.0,3,3,3
211,3.0,3,3,3
212,3.0,3,3,3
213,3.0,3,3,3
214,3.0,53,53,53
215,3.0,35,35,35
216,3.0,3,3,3
217,3.0,3,3,3
218,3.0,3,3,3
219,3.0,3,3,3
220,3.0,3,3,3
221,3.0,3,3,3
222,3.0,3,3,3
223,3.0,3,3,3
224,3.0,3,3,3
225,3.0,44,44,44
226,3.0,3,3,3
227,3.0,3,3,3
228,3.0,3,3,3
229,3.0,3,3,3
230,3.0,3,3,3
231,3.0,38,38,38
232,3.0,3,3,3
233,3.0,3,3,3
234,3.0,3,3,3
235,3.0,3,3,3
236,3.0,3,3,3
237,3.0,3,3,3
238,3.0,3,3,3
239,3.0,3,3,3
240,4.0,9,9,9
241,4.0,4,4,4
242,4.0,5,5,5
243,4.0,4,4,4
244,4.0,28,56,56
245,4.0,63,5,63
246,4.0,63,63,63
247,4.0,9,9,9
248,4.0,43,43,43
249,4.0,11,11,11
250,4.0,4,4,4
251,4.0,28,28,28
252,4.0,4,4,4
253,4.0,60,60,60
254,4.0,28,28,28
255,4.0,5,5,5
256,4.0,4,4,4
257,4.0,9,4,4
258,4.0,4,4,4
259,4.0,5,5,5
260,4.0,4,4,4
261,4.0,28,28,28
262,4.0,28,28,28
263,4.0,11,63,37
264,4.0,4,4,4
265,4.0,4,4,4
266,4.0,4,4,4
267,4.0,5,5,5
268,4.0,43,4,43
269,4.0,4,4,4
270,4.0,28,28,28
271,4.0,62,62,62
272,4.0,28,28,28
273,4.0,63,5,63
274,4.0,28,28,28
275,4.0,63,63,63
276,4.0,28,4,4
277,4.0,4,4,4
278,4.0,4,4,4
279,4.0,4,4,4
280,4.0,4,4,4
281,4.0,4,4,4
282,4.0,56,56,56
283,4.0,28,4,28
284,4.0,4,4,4
285,4.0,28,28,28
286,4.0,25,25,25
287,4.0,28,4,28
288,4.0,28,4,28
289,4.0,4,4,4
290,4.0,4,4,4
291,4.0,6,6,6
292,4.0,28,4,4
293,4.0,9,9,9
294,4.0,56,56,56
295,4.0,28,37,56
296,4.0,9,9,9
297,4.0,63,37,44
298,4.0,54,54,63
299,4.0,5,5,5
300,4.0,28,4,4
301,4.0,4,4,4
302,4.0,4,4,4
303,4.0,4,4,4
304,4.0,28,56,28
305,4.0,4,4,4
306,4.0,37,37,37
307,4.0,4,4,4
308,4.0,56,4,4
309,4.0,5,5,5
310,4.0,5,5,5
311,4.0,56,56,56
312,4.0,28,28,28
313,4.0,9,9,9
314,4.0,4,4,4
315,4.0,4,4,4
316,4.0,38,38,38
317,4.0,4,4,4
318,4.0,4,4,4
319,4.0,37,37,37
320,4.0,28,4,4
321,4.0,49,49,49
322,4.0,4,4,4
323,4.0,4,4,4
324,4.0,4,4,4
325,4.0,54,54,54
326,4.0,49,49,49
327,4.0,9,9,9
328,4.0,49,49,49
329,4.0,63,63,63
330,4.0,43,43,43
331,4.0,28,28,28
332,4.0,28,4,4
333,4.0,4,4,4
334,4.0,4,4,4
335,4.0,56,49,56
336,4.0,63,63,63
337,4.0,4,4,4
338,4.0,4,4,4
339,5.0,5,5,5
340,5.0,5,5,5
341,5.0,43,43,43
342,5.0,5,5,5
343,5.0,5,5,5
344,5.0,5,5,5
345,5.0,5,5,5
346,5.0,5,5,5
347,5.0,5,5,5
348,5.0,5,5,5
349,5.0,5,5,5
350,5.0,5,5,5
351,5.0,62,62,62
352,5.0,5,5,5
353,5.0,60,5,5
354,5.0,5,5,5
355,5.0,5,5,5
356,5.0,5,5,5
357,5.0,5,5,5
358,5.0,5,5,5
359,5.0,5,5,5
360,5.0,5,5,5
361,5.0,5,5,5
362,5.0,5,5,5
363,5.0,5,5,5
364,5.0,5,5,5
365,5.0,5,5,5
366,5.0,5,5,5
367,5.0,5,5,5
368,5.0,63,63,63
369,5.0,5,5,5
370,5.0,5,5,5
371,5.0,5,5,5
372,5.0,5,5,5
373,5.0,5,5,5
374,5.0,48,48,48
375,5.0,5,5,5
376,5.0,5,5,5
377,5.0,5,5,5
378,5.0,5,5,5
